City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,niles,42.0189,-87.8028,20.59,67,0,2.57,US,1721395387
255,quellon,-43.1167,-73.6167,5.07,83,35,2.95,CL,1721395388
256,khromtau,50.2503,58.4347,24.1,48,46,5.74,KZ,1721395388
257,whitehorse,60.7161,-135.0538,7.43,75,75,2.06,CA,1721395388
258,qaqortoq,60.7167,-46.0333,13.16,58,15,0.89,GL,1721395388
259,newport,51.5877,-2.9984,28.15,62,11,3.8,GB,1721395388
260,tolanaro,-25.0319,46.9987,25.04,73,20,5.14,MG,1721395389
261,portoferraio,42.8115,10.3146,33.29,48,0,5.66,IT,1721395389
262,hasaki,35.7333,140.8333,28.22,90,100,4.52,JP,1721395389
263,effingham,32.3669,-81.3332,28.97,86,55,2.22,US,1721395389
264,igarka,67.4667,86.5833,16.45,45,99,6.39,RU,1721395389
265,chulakkurgan,43.765,69.1814,30.73,24,4,3.71,KZ,1721395212
266,salinopolis,-0.6136,-47.3561,28.96,68,6,3.93,BR,1721395390
267,aberystwyth,52.4155,-4.0829,24.84,75,79,4.56,GB,1721395390
268,murom,55.5656,42.0417,19.85,77,100,7.76,RU,1721395390
269,namibe,-15.1961,12.1522,20.8,68,99,4.45,AO,1721395390
270,northam,51.0333,-4.2167,20.7,63,1,3.45,GB,1721395391
271,remontnoye,46.5614,43.6501,39.53,14,5,3.54,RU,1721395391
272,colonia,50.9333,6.95,30.32,47,0,2.06,DE,1721395175
273,skeldon,5.8833,-57.1333,27.52,79,6,1.67,GY,1721395391
274,uturoa,-16.7333,-151.4333,25.16,72,1,5.86,PF,1721395391
275,matoury,4.8483,-52.3317,27.98,89,100,1.54,GF,1721395392
276,ikom,5.9667,8.7063,22.64,99,100,1.06,NG,1721395392
277,san juan,-31.5375,-68.5364,8.98,47,100,6.9,AR,1721395392
278,wladyslawowo,54.7909,18.4009,24.41,67,12,5.86,PL,1721395392
279,phan rang-thap cham,11.5667,108.9833,25.76,85,100,1.55,VN,1721395392
280,new plymouth,-39.0667,174.0833,14.34,100,100,2.57,NZ,1721395393
281,puerto deseado,-47.7503,-65.8938,2.86,55,0,4.75,AR,1721395343
282,manokwari,-0.8667,134.0833,24.08,93,100,2.17,ID,1721395393
283,mahanoro,-19.9,48.8,23.47,67,0,3.0,MG,1721395393
284,ancud,-41.8697,-73.8203,3.51,89,19,3.17,CL,1721395394
285,luanco,43.6152,-5.7934,26.27,77,8,3.13,ES,1721395394
286,huarmey,-10.0681,-78.1522,16.94,80,82,1.97,PE,1721395394
287,kapuskasing,49.4169,-82.4331,19.05,72,75,5.66,CA,1721395394
288,la'ie,21.6477,-157.9253,24.14,79,1,0.89,US,1721395394
289,askoy,60.4092,5.226,19.3,72,75,5.14,NO,1721395395
290,cossato,45.5739,8.1817,31.79,63,99,1.97,IT,1721395395
291,altamira,-3.2033,-52.2064,28.05,74,40,2.57,BR,1721395213
292,port douglas,-16.4833,145.4667,16.76,75,100,2.43,AU,1721395395
293,mount pearl,47.5166,-52.7813,22.19,90,75,11.83,CA,1721395395
294,santo angelo,-28.2992,-54.2631,18.18,72,0,2.57,BR,1721395147
295,ballina,-28.8667,153.5667,12.09,55,7,4.95,AU,1721395396
296,lewistown,40.5992,-77.5714,22.27,79,0,0.0,US,1721395396
297,keflavik,64.0049,-22.5624,13.24,76,75,6.69,IS,1721395396
